code,description,category,amount
11,Φόροι,ΕΣΟΔΑ,62055000000
12,Κοινωνικές εισφορές,ΕΣΟΔΑ,60000000
13,Μεταβιβάσεις,ΕΣΟΔΑ,8131000000
14,Πωλήσεις αγαθών και υπηρεσιών,ΕΣΟΔΑ,2405000000
15,Λοιπά τρέχοντα έσοδα,ΕΣΟΔΑ,2775000000
31,Πάγια περιουσιακά στοιχεία,ΕΣΟΔΑ,37000000
43,Χρεωστικοί τίτλοι,ΕΣΟΔΑ,11000000
44,Δάνεια,ΕΣΟΔΑ,20000000
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,ΕΣΟΔΑ,467000000
52,Υποχρεώσεις από νόμισμα και καταθέσεις,ΕΣΟΔΑ,66000000
53,Χρεωστικοί τίτλοι (Υποχρεώσεις),ΕΣΟΔΑ,25973000000
54,Δάνεια,ΕΣΟΔΑ,1202027000000
57,Χρηματοοικονομικά παράγωγα,ΕΣΟΔΑ,800000000
21,Παροχές σε εργαζομένους,ΕΞΟΔΑ,14889199000
22,Κοινωνικές παροχές,ΕΞΟΔΑ,425136000
23,Μεταβιβάσεις,ΕΞΟΔΑ,34741365000
24,Αγορές αγαθών και υπηρεσιών,ΕΞΟΔΑ,2039542000
25,Επιδοτήσεις,ΕΞΟΔΑ,80630000
26,Τόκοι,ΕΞΟΔΑ,7701101000
27,Λοιπές δαπάνες,ΕΞΟΔΑ,101553000
29,Πιστώσεις υπό κατανομή,ΕΞΟΔΑ,17283053000
31,Πάγια περιουσιακά στοιχεία,ΕΞΟΔΑ,2609600000
33,Τιμαλφή,ΕΞΟΔΑ,85000
44,Δάνεια,ΕΞΟΔΑ,3741000000
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,ΕΞΟΔΑ,1755112000
53,Χρεωστικοί τίτλοι (υποχρεώσεις),ΕΞΟΔΑ,19375000000
54,Δάνεια,ΕΞΟΔΑ,1203165130000
