Κωδικός Φορέα,Ονομασία Φορέα,Τακτικός Προυπολογισμός,Προυπολογισμός Δημόσιων Επενδύσεων,Έτος
1001,Προεδρία της Δημοκρατίας,4636000,0,2024
1003,Βουλή των Ελλήνων,159400000,1000000,2024
1004,Προεδρία της Κυβέρνησης,38259000,5000000,2024
1007,Υπουργείο Εσωτερικών,3337487000,368000000,2024
1009,Υπουργείο Εξωτερικών,384892000,23000000,2024
1011,Υπουργείο Εθνικής Άμυνας,6093388000,30000000,2024
1015,Υπουργείο Υγείας,5705031000,322000000,2024
1017,Υπουργείο Δικαιοσύνης,559464000,66000000,2024
1020,"Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού",5452630000,1095000000,2024
1022,Υπουργείο Πολιτισμού,258113000,142000000,2024
1024,Υπουργείο Εθνικής Οικονομίας και Οικονομικών,1047177798000,2720000000,2024
1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,203694000,981000000,2024
1031,Υπουργείο Περιβάλλοντος και Ενέργειας,295158000,1528000000,2024
1032,Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης,18019492000,610000000,2024
1034,Υπουργείο Κοινωνικής Συνοχής και Οικογένειας,3718039000,274000000,2024
1036,Υπουργείο Ανάπτυξης,125661000,799000000,2024
1039,Υπουργείο Υποδομών και Μεταφορών,883117000,1467000000,2024
1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,311280000,265000000,2024
1045,Υπουργείο Τουρισμού,38787000,129000000,2024
1053,Υπουργείο Ψηφιακής Διακυβέρνησης,185765000,658000000,2024
1055,Υπουργείο Μετανάστευσης και Ασύλου,124304000,349000000,2024
1057,Υπουργείο Προστασίας του Πολίτη,2184973000,78000000,2024
1060,Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,679610000,257000000,2024
1901,Αποκεντρωμένη Διοίκηση Αττικής,11629000,0,2024
1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,10659000,0,2024
1903,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,9796000,0,2024
1904,Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου,15415000,0,2024
1905,Αποκεντρωμένη Διοίκηση Αιγαίου,6211000,0,2024
1906,Αποκεντρωμένη Διοίκηση Κρήτης,6719000,0,2024
1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,19863000,0,2024
1001,Προεδρία της Δημοκρατίας,4263000,0,2023
1003,Βουλή των Ελλήνων,148900000,1000000,2023
1004,Προεδρία της Κυβέρνησης,34679000,6000000,2023
1007,Υπουργείο Εσωτερικών,3215620000,333128000,2023
1009,Υπουργείο Εξωτερικών,266600000,15575000,2023
1011,Υπουργείο Εθνικής Άμυνας,5687800000,20000000,2023
1015,Υπουργείο Υγείας,4776460000,425928000,2023
1017,Υπουργείο Δικαιοσύνης,515955000,50419000,2023
1019,Υπουργείο Παιδείας και Θρησκευμάτων,5015300000,1065204000,2023
1021,Υπουργείο Πολιτισμού και Αθλητισμού,339969000,118594000,2023
1023,Υπουργείο Οικονομικών,748422479000,169844000,2023
1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,229408000,1318572000,2023
1031,Υπουργείο Περιβάλλοντος και Ενέργειας,298235000,1409098000,2023
1033,Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,21795657000,697029000,2023
1035,Υπουργείο Ανάπτυξης και Επενδύσεων,141371000,3153978000,2023
1039,Υπουργείο Υποδομών και Μεταφορών,851454000,1494805000,2023
1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολίτικης,284223000,214230000,2023
1045,Υπουργείο Τουρισμού,39093000,200267000,2023
1053,Υπουργείο Ψηφιακής Διακυβέρνησης,162588000,810349000,2023
1055,Υπουργείο Μετανάστευσης και Ασύλου,94020000,324708000,2023
1057,Υπουργείο Προστασίας του Πολίτη,1947833000,65000000,2023
1059,Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,575351000,68122000,2023
1901,Αποκεντρωμένη Διοίκηση Αττικής,11610000,0,2023
1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,7723000,0,2023
1903,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,8468000,0,2023
1904,Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου,12467000,0,2023
1905,Αποκεντρωμένη Διοίκηση Αιγαίου,5631000,0,2023
1906,Αποκεντρωμένη Διοίκηση Κρήτης,6068000,0,2023
1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,17118000,0,2023
1001,Προεδρία της Δημοκρατίας,4462000,0,2022
1003,Βουλή των Ελλήνων,144200000,2000000,2022
1004,Προεδρία της Κυβέρνησης,33144000,11000000,2022
1007,Υπουργείο Εσωτερικών,2928568000,310000000,2022
1009,Υπουργείο Εξωτερικών,254622000,14000000,2022
1011,Υπουργείο Εθνικής Άμυνας,6431600000,34000000,2022
1015,Υπουργείο Υγείας,4341371000,315900000,2022
1017,Υπουργείο Δικαιοσύνης,516768000,61600000,2022
1019,Υπουργείο Παιδείας και Θρησκευμάτων,4891100000,950000000,2022
1021,Υπουργείο Πολιτισμού και Αθλητισμού,337553000,80000000,2022
1023,Υπουργείο Οικονομικών,750441665000,1135161000,2022
1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,187436000,854000000,2022
1031,Υπουργείο Περιβάλλοντος και Ενέργειας,195581000,1220000000,2022
1033,Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,20892496000,720000000,2022
1035,Υπουργείο Ανάπτυξης και Επενδύσεων,146720000,2780000000,2022
1039,Υπουργείο Υποδομών και Μεταφορών,75621000,1290000000,2022
1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,276427000,175000000,2022
1045,Υπουργείο Τουρισμού,39485000,45000000,2022
1053,Υπουργείο Ψηφιακής Διακυβέρνησης,240578000,714000000,2022
1055,Υπουργείο Μετανάστευσης και Ασύλου,92713000,150929000,2022
1057,Υπουργείο Προστασίας του Πολίτη,1900413000,75000000,2022
1059,Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας,534021000,61000000,2022
1901,Αποκεντρωμένη Διοίκηση Αττικής,17492000,0,2022
1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,26386000,0,2022
1903,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,18447000,0,2022
1904,Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου,31786000,0,2022
1905,Αποκεντρωμένη Διοίκηση Αιγαίου,10462000,0,2022
1906,Αποκεντρωμένη Διοίκηση Κρήτης,10844000,0,2022
1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,39555000,0,2022
1000,Προεδρία της Δημοκρατίας,3766000,0,2021
1003,Βουλή των Ελλήνων,142500000,1000000,2021
1004,Προεδρία της Κυβέρνησης,31251000,3000000,2021
1007,Υπουργείο Εσωτερικών,2814769000,172000000,2021
1009,Υπουργείο Εξωτερικών,274237000,14000000,2021
1011,Υπουργείο Εθνικής Άμυνας,5481900000,14000000,2021
1015,Υπουργείο Υγείας,4196596000,60000000,2021
1017,Υπουργείο Δικαιοσύνης,510261000,23000000,2021
1019,Υπουργείο Παιδείας και Θρησκευμάτων,4895100000,710000000,2021
1021,Υπουργείο Πολιτισμού και Αθλητισμού,324100000,35000000,2021
1023,Υπουργείο Οικονομικών,747452497000,23000000,2021
1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,296963000,902000000,2021
1031,Υπουργείο Περιβάλλοντος και Ενέργειας,92375000,670000000,2021
1033,Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,22269305000,420000000,2021
1035,Υπουργείο Ανάπτυξης και Επενδύσεων,186196000,5115000000,2021
1039,Υπουργείο Υποδομών και Μεταφορών,717688000,867000000,2021
1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,268600000,140000000,2021
1045,Υπουργείο Τουρισμού,36240000,21000000,2021
1057,Υπουργείο Προστασίας του Πολίτη,2414481000,74000000,2021
1053,Υπουργείο Ψηφιακής Διακυβέρνησης,146109000,90000000,2021
1055,Υπουργείο Μετανάστευσης και Ασύλου,96884000,31000000,2021
1901,Αποκεντρωμένη Διοίκηση Αττικής,19247000,0,2021
1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,27427000,0,2021
1903,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,18659000,0,2021
1904,Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου,33001000,0,2021
1905,Αποκεντρωμένη Διοίκηση Αιγαίου,10462000,0,2021
1906,Αποκεντρωμένη Διοίκηση Κρήτης,11160000,0,2021
1907,Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης,41456000,0,2021
1000,Προεδρία της Δημοκρατίας,3691000,0,2020
1003,Βουλή των Ελλήνων,139550000,1000000,2020
1007,Υπουργείο Εσωτερικών,2785671000,212000000,2020
1009,Υπουργείο Εξωτερικών,267109000,11000000,2020
1011,Υπουργείο Εθνικής Άμυνας,3383000000,14000000,2020
1015,Υπουργείο Υγείας,3798660000,60000000,2020
1017,Υπουργείο Δικαιοσύνης,509754000,23000000,2020
1019,Υπουργείο Παιδείας και Θρησκευμάτων,4953000000,510000000,2020
1021,Υπουργείο Πολιτισμού και Αθλητισμού,300200000,35000000,2020
1023,Υπουργείο Οικονομικών,632762383000,26000000,2020
1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,269473000,802000000,2020
1031,Υπουργείο Περιβάλλοντος και Ενέργειας,90805000,570000000,2020
