Κωδικός_Φορέα,Ονομασία_Φορέα,Κωδικός_Υπηρεσίας,Ονομασία_Υπηρεσίας,Κωδικός_Δαπάνης,Ονομασία_Δαπάνης,2025
1001,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,1001-101-0000000,Προεδρία της Δημοκρατίας,21,Παροχές σε εργαζομένους,3532000
1001,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,1001-101-0000000,Προεδρία της Δημοκρατίας,23,Μεταβιβάσεις,203000
1001,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,1001-101-0000000,Προεδρία της Δημοκρατίας,24,Αγορές αγαθών και υπηρεσιών,850000
1001,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,1001-101-0000000,Προεδρία της Δημοκρατίας,31,Πάγια περιουσιακά στοιχεία,53000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-101-0000000,Γραφεία Προέδρου και Αντιπροέδρων της Βουλής των Ελλήνων,21,Παροχές σε εργαζομένους,6423000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-101-0000000,Γραφεία Προέδρου και Αντιπροέδρων της Βουλής των Ελλήνων,22,Κοινωνικές παροχές,12000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-201-0000000,Γενική Γραμματεία της Βουλής των Ελλήνων,21,Παροχές σε εργαζομένους,44609000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-201-0000000,Γενική Γραμματεία της Βουλής των Ελλήνων,22,Κοινωνικές παροχές,716000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-201-0000000,Γενική Γραμματεία της Βουλής των Ελλήνων,23,Μεταβιβάσεις,6318000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-201-0000000,Γενική Γραμματεία της Βουλής των Ελλήνων,24,Αγορές αγαθών και υπηρεσιών,15605000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-201-0000000,Γενική Γραμματεία της Βουλής των Ελλήνων,29,Πιστώσεις υπό κατανομή,100000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-201-0000000,Γενική Γραμματεία της Βουλής των Ελλήνων,31,Πάγια περιουσιακά στοιχεία,3208000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-201-0000000,Γενική Γραμματεία της Βουλής των Ελλήνων,33,Τιμαλφή,80000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-501-0000000,"Λοιπές αυτοτελείς Υπηρεσίες και μονάδες, οι οποίες υπάγονται στον Πρόεδρο της Βουλής των Ελλήνων",21,Παροχές σε εργαζομένους,76625000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-501-0000000,"Λοιπές αυτοτελείς Υπηρεσίες και μονάδες, οι οποίες υπάγονται στον Πρόεδρο της Βουλής των Ελλήνων",22,Κοινωνικές παροχές,12000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-501-0000000,"Λοιπές αυτοτελείς Υπηρεσίες και μονάδες, οι οποίες υπάγονται στον Πρόεδρο της Βουλής των Ελλήνων",23,Μεταβιβάσεις,72000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-501-0000000,"Λοιπές αυτοτελείς Υπηρεσίες και μονάδες, οι οποίες υπάγονται στον Πρόεδρο της Βουλής των Ελλήνων",24,Αγορές αγαθών και υπηρεσιών,14916000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-501-0000000,"Λοιπές αυτοτελείς Υπηρεσίες και μονάδες, οι οποίες υπάγονται στον Πρόεδρο της Βουλής των Ελλήνων",26,Τόκοι,1000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,1003-501-0000000,"Λοιπές αυτοτελείς Υπηρεσίες και μονάδες, οι οποίες υπάγονται στον Πρόεδρο της Βουλής των Ελλήνων",31,Πάγια περιουσιακά στοιχεία,1253000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-101-0000000,"Γραφεία Αντιπροέδρου της Κυβέρνησης, Υπουργών Επικρατείας, Υφυπουργών, Γενικών και Ειδικών Γραμματέων, Αναπληρωτών Γενικών Γραμματέων της Προεδρίας της Κυβέρνησης",21,Παροχές σε εργαζομένους,1544000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-201-0000000,Γενική Γραμματεία του Πρωθυπουργού,21,Παροχές σε εργαζομένους,5260000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-201-0000000,Γενική Γραμματεία του Πρωθυπουργού,24,Αγορές αγαθών και υπηρεσιών,3891000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-201-0000000,Γενική Γραμματεία του Πρωθυπουργού,31,Πάγια περιουσιακά στοιχεία,505000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-202-0000000,Γενική Γραμματεία Νομικών και Κοινοβουλευτικών Θεμάτων,21,Παροχές σε εργαζομένους,6253000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-203-0000000,Γενική Γραμματεία Συντονισμού,21,Παροχές σε εργαζομένους,3217000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-204-0000000,Γενική Γραμματεία Επικοινωνίας και Ενημέρωσης,21,Παροχές σε εργαζομένους,3877000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-204-0000000,Γενική Γραμματεία Επικοινωνίας και Ενημέρωσης,22,Κοινωνικές παροχές,20000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-204-0000000,Γενική Γραμματεία Επικοινωνίας και Ενημέρωσης,23,Μεταβιβάσεις,8930000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-204-0000000,Γενική Γραμματεία Επικοινωνίας και Ενημέρωσης,24,Αγορές αγαθών και υπηρεσιών,200000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-204-0000000,Γενική Γραμματεία Επικοινωνίας και Ενημέρωσης,25,Επιδοτήσεις,3600000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-206-0000000,Ειδική Γραμματεία Μακροπρόθεσμου Σχεδιασμού,21,Παροχές σε εργαζομένους,164000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-501-0000000,Εθνική Αρχή Προσβασιμότητας,21,Παροχές σε εργαζομένους,89000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,1004-502-0000000,Εθνική Επιτροπή Βιοηθικής και Τεχνοηθικής,21,Παροχές σε εργαζομένους,139000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-101-0000000,"Γραφεία Υπουργού, Αναπληρωτών Υπουργών, Υφυπουργών, Γενικών και Ειδικών Γραμματέων, Αναπληρωτών Γενικών Γραμματέων και Υπηρεσιακού Γραμματέα του Υπουργείου Εσωτερικών",21,Παροχές σε εργαζομένους,1930000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-101-0000000,"Γραφεία Υπουργού, Αναπληρωτών Υπουργών, Υφυπουργών, Γενικών και Ειδικών Γραμματέων, Αναπληρωτών Γενικών Γραμματέων και Υπηρεσιακού Γραμματέα του Υπουργείου Εσωτερικών",24,Αγορές αγαθών και υπηρεσιών,136000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-103-0000000,"Γραφεία Υπουργού, Αναπληρωτών Υπουργών, Υφυπουργών, Γενικών και Ειδικών Γραμματέων και Αναπληρωτών Γενικών Γραμματέων του τομέα Μακεδονίας και Θράκης του Υπουργείου Εσωτερικών",21,Παροχές σε εργαζομένους,240000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-103-0000000,"Γραφεία Υπουργού, Αναπληρωτών Υπουργών, Υφυπουργών, Γενικών και Ειδικών Γραμματέων και Αναπληρωτών Γενικών Γραμματέων του τομέα Μακεδονίας και Θράκης του Υπουργείου Εσωτερικών",24,Αγορές αγαθών και υπηρεσιών,343000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-202-0000000,Γενική Γραμματεία Ιθαγένειας,21,Παροχές σε εργαζομένους,10400000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-202-0000000,Γενική Γραμματεία Ιθαγένειας,24,Αγορές αγαθών και υπηρεσιών,740000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-202-0000000,Γενική Γραμματεία Ιθαγένειας,29,Πιστώσεις υπό κατανομή,3200000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-206-0000000,Γενική Γραμματεία Εσωτερικών και Οργάνωσης,21,Παροχές σε εργαζομένους,8270000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-206-0000000,Γενική Γραμματεία Εσωτερικών και Οργάνωσης,23,Μεταβιβάσεις,20180000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-206-0000000,Γενική Γραμματεία Εσωτερικών και Οργάνωσης,24,Αγορές αγαθών και υπηρεσιών,3192000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-206-0000000,Γενική Γραμματεία Εσωτερικών και Οργάνωσης,31,Πάγια περιουσιακά στοιχεία,285000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-207-0000000,Γενική Γραμματεία Δημόσιας Διοίκησης,21,Παροχές σε εργαζομένους,13209000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-207-0000000,Γενική Γραμματεία Δημόσιας Διοίκησης,23,Μεταβιβάσεις,7138000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-207-0000000,Γενική Γραμματεία Δημόσιας Διοίκησης,24,Αγορές αγαθών και υπηρεσιών,3602000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-207-0000000,Γενική Γραμματεία Δημόσιας Διοίκησης,27,Λοιπές δαπάνες,186000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-207-0000000,Γενική Γραμματεία Δημόσιας Διοίκησης,31,Πάγια περιουσιακά στοιχεία,190000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-208-0000000,Ειδική Γραμματεία για την Προστασία των Ζώων Συντροφιάς,21,Παροχές σε εργαζομένους,218000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-208-0000000,Ειδική Γραμματεία για την Προστασία των Ζώων Συντροφιάς,24,Αγορές αγαθών και υπηρεσιών,60000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-209-0000000,Γενική Γραμματεία Αυτοδιοίκησης και Αποκέντρωσης,21,Παροχές σε εργαζομένους,3426000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-209-0000000,Γενική Γραμματεία Αυτοδιοίκησης και Αποκέντρωσης,23,Μεταβιβάσεις,3330893000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-501-0000000,"Λοιπές μονάδες/αυτοτελείς μονάδες του Υπουργείου Εσωτερικών, οι οποίες υπάγονται στον Υπουργό/Αναπληρωτές Υπουργούς/Υφυπουργούς/ Υπηρεσιακό Γραμματέα ή λειτουργούν στο Υπουργείο",21,Παροχές σε εργαζομένους,527000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-501-0000000,"Λοιπές μονάδες/αυτοτελείς μονάδες του Υπουργείου Εσωτερικών, οι οποίες υπάγονται στον Υπουργό/Αναπληρωτές Υπουργούς/Υφυπουργούς/ Υπηρεσιακό Γραμματέα ή λειτουργούν στο Υπουργείο",24,Αγορές αγαθών και υπηρεσιών,5000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-503-0000000,"Λοιπές μονάδες/αυτοτελείς μονάδες του τομέα Μακεδονίας και Θράκης του Υπουργείου Εσωτερικών, οι οποίες υπάγονται στον Υπουργό/ Αναπληρωτές Υπουργούς/Υφυπουργούς",21,Παροχές σε εργαζομένους,182000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-503-0000000,"Λοιπές μονάδες/αυτοτελείς μονάδες του τομέα Μακεδονίας και Θράκης του Υπουργείου Εσωτερικών, οι οποίες υπάγονται στον Υπουργό/ Αναπληρωτές Υπουργούς/Υφυπουργούς",24,Αγορές αγαθών και υπηρεσιών,44000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-801-0000000,Δαπάνες της Ανεξάρτητης Διοικητικής Αρχής Ανώτατο Συμβούλιο Επιλογής Προσωπικού που καλύπτονται από τον προϋπολογισμό του Υπουργείου Εσωτερικών,21,Παροχές σε εργαζομένους,15421000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,1007-801-0000000,Δαπάνες της Ανεξάρτητης Διοικητικής Αρχής Ανώτατο Συμβούλιο Επιλογής Προσωπικού που καλύπτονται από τον προϋπολογισμό του Υπουργείου Εσωτερικών,24,Αγορές αγαθών και υπηρεσιών,3885000
