Κωδικός Ταξινόμησης,Ονομασία,Ποσό,Έτος
11,Φόροι,56597000000,2024
12,Κοινωνικές εισφορές,56000000,2024
13,Μεταβιβάσεις,7960000000,2024
14,Πωλήσεις αγαθών και υπηρεσιών,5547000000,2024
15,Λοιπά τρέχοντα έσοδα,2555000000,2024
31,Πάγια περιουσιακά στοιχεία,23000000,2024
43,Χρεωστικοί τίτλοι,11000000,2024
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,1095000000,2024
52,Υποχρεώσεις από νόμισμα και καταθέσεις,55000000,2024
53,Χρεωστικοί τίτλοι (υποχρεώσεις),28205000000,2024
54,Δάνεια,1004195000000,2024
57,Χρηματοοικονομικά παράγωγα,1350000000,2024
11,Φόροι,51579000000,2023
12,Κοινωνικές εισφορές,55000000,2023
13,Μεταβιβάσεις,7953000000,2023
14,Πωλήσεις αγαθών και υπηρεσιών,2405000000,2023
15,Λοιπά τρέχοντα έσοδα,1869000000,2023
31,Πάγια περιουσιακά στοιχεία,24000000,2023
43,Χρεωστικοί τίτλοι,23000000,2023
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,387000000,2023
52,Υποχρεώσεις από νόμισμα και καταθέσεις,44000000,2023
53,Χρεωστικοί τίτλοι (υποχρεώσεις),31554000000,2023
54,Δάνεια,701846000000,2023
57,Χρηματοοικονομικά παράγωγα,300000000,2023
11,Φόροι,45654498000,2022
12,Κοινωνικές εισφορές,55000000,2022
13,Μεταβιβάσεις,7376000000,2022
14,Πωλήσεις αγαθών και υπηρεσιών,2092000000,2022
15,Λοιπά τρέχοντα έσοδα,1911000000,2022
31,Πάγια περιουσιακά στοιχεία,13000000,2022
43,Χρεωστικοί τίτλοι,31000000,2022
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,687000000,2022
52,Υποχρεώσεις από νόμισμα και καταθέσεις,6000000,2022
53,Χρεωστικοί τίτλοι (υποχρεώσεις),36954000000,2022
54,Δάνεια,701846000000,2022
11,Φόροι,43587000000,2021
12,Κοινωνικές εισφορές,53000000,2021
13,Μεταβιβάσεις,6951000000,2021
14,Πωλήσεις αγαθών και υπηρεσιών,595000000,2021
15,Λοιπά τρέχοντα έσοδα,1454000000,2021
31,Πάγια περιουσιακά στοιχεία,330000000,2021
43,Χρεωστικοί τίτλοι,30520000,2021
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,1453000000,2021
52,Υποχρεώσεις από νόμισμα και καταθέσεις,8620000,2021
53,Χρεωστικοί τίτλοι (υποχρεώσεις),37000000000,2021
54,Δάνεια,701700340000,2021
11,Φόροι,47228000000,2020
12,Κοινωνικές εισφορές,55000000,2020
13,Μεταβιβάσεις,3880000000,2020
14,Πωλήσεις αγαθών και υπηρεσιών,692000000,2020
15,Λοιπά τρέχοντα έσοδα,1564000000,2020
31,Πάγια περιουσιακά στοιχεία,332000000,2020
43,Χρεωστικοί τίτλοι,550000000,2020
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,2063000000,2020
52,Υποχρεώσεις από νόμισμα και καταθέσεις,19000000,2020
53,Χρεωστικοί τίτλοι (υποχρεώσεις),22761145000,2020
54,Δάνεια,600000000000,2020
